Instruction at 0x401a5c in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401a61 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401a65 in routine: test_floating_point_operations | subsd xmm1, qword ptr [rbp-0x18] | Category: SSE
Instruction at 0x401a6a in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x18] | Category: DATAXFER
Instruction at 0x401a6f in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401a73 in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401a77 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401a7b in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401a80 in routine: test_floating_point_operations | mov edi, 0x403588 | Category: DATAXFER
Instruction at 0x401a85 in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401a8a in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401a8f in routine: test_floating_point_operations | movss xmm0, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401a94 in routine: test_floating_point_operations | mulss xmm0, dword ptr [rbp-0x8] | Category: SSE
Instruction at 0x401a99 in routine: test_floating_point_operations | pxor xmm1, xmm1 | Category: LOGICAL
Instruction at 0x401a9d in routine: test_floating_point_operations | cvtss2sd xmm1, xmm0 | Category: CONVERT
Instruction at 0x401aa1 in routine: test_floating_point_operations | pxor xmm0, xmm0 | Category: LOGICAL
Instruction at 0x401aa5 in routine: test_floating_point_operations | cvtss2sd xmm0, dword ptr [rbp-0x8] | Category: CONVERT
Instruction at 0x401aaa in routine: test_floating_point_operations | pxor xmm5, xmm5 | Category: LOGICAL
Instruction at 0x401aae in routine: test_floating_point_operations | cvtss2sd xmm5, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401ab3 in routine: test_floating_point_operations | movq rax, xmm5 | Category: DATAXFER
Instruction at 0x401ab8 in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401abc in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401ac0 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401ac5 in routine: test_floating_point_operations | mov edi, 0x4035b0 | Category: DATAXFER
Instruction at 0x401aca in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401acf in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401ad4 in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401ad9 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401add in routine: test_floating_point_operations | mulsd xmm1, qword ptr [rbp-0x18] | Category: SSE
Instruction at 0x401ae2 in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x18] | Category: DATAXFER
Instruction at 0x401ae7 in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401aeb in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401aef in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401af3 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401af8 in routine: test_floating_point_operations | mov edi, 0x4035d0 | Category: DATAXFER
Instruction at 0x401afd in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401b02 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
